title,track,course,rooms,days,time_slots,description,expected_result,tags,tech_areas,author,telegram,links,repository,avg_score,expert_count,mentor_score,score_актуальность,score_практ_значимость,score_новизна,score_импакт,score_rd_сложность,score_масштабирование,score_критерий_7,expert_comments
agentarea - платформа для построения агентских сетей,Demo Day,,"Мультиагентные системы, агенты",2026-01-22,10:45:00,,,Agents; Агенты,,,,,,1.19,6,,2.0,1.0,1.0,1.0,1.0,1.33,1.0,"не хватило демонстрации примеров-кейсов, где данное решение хорошо (в идеале лучше чем существующие решения) показывает себя | не раскрыта ценность проекта, не очень понятно, сравнивали ли с deep agents и сходятся ли решения по метрикам качества/перформанса | один вопрос - зачем? | Не раскрыл ценность. | Не очень понятна конечная ценность проекта и преимущества перед другими решениями | Свой велосипед по факту; время/деньги на отладку, когда есть миллион +1 фреймворк на gh"
agentic memory,Demo Day,,Agent,2026-01-23,11:00:00,,,Agents; Агенты,,,,,,2.57,2,,3.0,3.0,2.5,2.0,2.5,3.0,2.0,
AI - Researcher,Индустриальный,2 курс,RecSys,2026-01-22,12:00:00,"1. Проведение ресерча актуальных архитектур агентов
2. Выбор подходящих решений 
3. Реализация и тестирование модификаций архитектуры",,LLM; ML в промышленности; NLP; RecSys; Агенты,Agentic_AI; LLM,Студент_1018,@user_488,https://docs.google.com/presentation/d/1WOmIqHOXBTslasLru09Oa6DZDx67__1qM_iN8IBMlYo/edit?usp=sharing,,3.0,1,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
AI agents for Science,Научный,,,,,"исследование и доработка существующих решений agents4science. Разработка своего собственного.

Ожидаемый результат: доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.",доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.,Research; Агенты,,Студент_371,@user_002,,,,,,,,,,,,,
AI Media Producer,Индустриальный,1 курс,"Геймификация, визуализация, 3D",2026-01-22,14:15:00,"Задача: агент для генерации изображений на локальных open-source или недорогих SDXL-style моделях.

В задачи разработки агента генерации изображений входят следующие этапы:
- Изучение существующих решений автоматизации генерации промптов для изображений (в comfyui или diffusers).
- Выбор универсальной и эффективной локальной модели генерации изоражений, на которой будет тестироваться пайплайн
опционально: попробовать локальные видеогенераторы
- Разработка основной части агента / workflow в comfyui, тестирование с различными локальными/дешёвыми LLM / VLM
- (опционально) Интеграция разработанного агента в MVP общего агента от Сергея М.

Ожидаемый результат: MVP / готовый агент генерации изображений, соответствующим минимальным требованиям: - генератор должен составлять промпты по запросу юзера с нуля; - генератор должен исправлять промпты по запросу, управлять вниманием модели (чтобы исправления реально работали)","MVP / готовый агент генерации изображений, соответствующим минимальным требованиям: - генератор должен составлять промпты по запросу юзера с нуля; - генератор должен исправлять промпты по запросу, управлять вниманием модели (чтобы исправления реально работали)",3D/Games; CV; LLM; ML в промышленности; NLP; VLM; Агенты,Other,Студент_377,@user_010,https://disk.yandex.ru/d/jUYwHUHeqSjJzQ,,1.52,3,5.0,1.33,1.67,1.33,1.67,1.67,1.67,1.33,
Ai review | Я Практикум,Индустриальный,1 курс,,,,"Разработать и протестировать подход к автоматическому анализу и валидации отзывов модели по коду, работающему с проектами в формате ZIP-архивов.

Исследовать, как можно автоматически проверять корректность ответов модели, анализирующей код проекта.

Проработать структуру обратной связи (комментарии к строкам, блокам, файлам, итоговое резюме).

Предложить методику оценки качества комментариев модели по сравнению с человеческим ревью.

Ожидаемый результат: Сделать рабочий прототип для каждой из задач",Сделать рабочий прототип для каждой из задач,HR; ML в промышленности,,Студент_1449,@user_627,,,,,,,,,,,,,
AI Sale Ассист,Индустриальный,2 курс,,,,"- Проведение продуктовых исследований и валидация продукта
- Проведение технических исследований под первоначальную идею
- Разработка базового MVP

Ожидаемый результат: Определение финального функционала продукта по итогам продуктовых исследований",Определение финального функционала продукта по итогам продуктовых исследований,ML в промышленности,,Студент_572,@user_204,,,,,,,,,,,,,
AI Security Lab,Научный,,,,,"Проведу исследование защиты llm систем

Ожидаемый результат: Наброски статьи",Наброски статьи,LLM; NLP; Research; Security,,Студент_827,@user_318,,,,,,,,,,,,,
ai security lab benchmark,Индустриальный,2 курс,Security; Безопасность,2026-01-22; 2026-01-23,11:00:00; 13:30:00,,,LLM; ML в промышленности; NLP; Security; Агенты,Agentic_AI; Data_Scientist; LLM; NLP,Студент_270,,https://drive.google.com/drive/folders/1ck5D_zIMx6lh4nJretBgy2_lFRv2jZWB?usp=share_link,,2.89,4,5.0,3.0,2.5,3.0,2.75,3.0,3.0,3.0,
ai security lab автоматическая визуализация бизнес-процессов студент_160,Demo Day (Бизнес),,Презентация проектов перед бизнес - партнерами,2026-01-23,18:00:00,,,Business; Security,,,,,,,,,,,,,,,,
ai singularity,Стартап,1 курс,Медицина,2026-01-22,16:00:00,"1. Провести клиентские интервью
2. Собрать mvp

Ожидаемый результат: mvp сервиса",mvp сервиса,MedTech; Стартап,Data_Scientist,Студент_831,@user_320,https://drive.google.com/drive/folders/1mPNOyt2z2RdboAOgi2Yj2CSH1pnNS6zA?usp=drive_link,,2.43,1,,3.0,3.0,2.0,2.0,2.0,3.0,2.0,Напишите письмо в МИАЦ на Алексеева П.С.
"AI Singularity (преакселератор), но я так понял это разные вещи: акселератор и стартап-трек",Стартап,,,,,"Так как мы начали делать стартап с началом преакселератора, то ставлю целью на семестр -- готовый лендинг, не менее 50 глубинных интервью с целевой аудиторией, готовый дизайн / макеты iOS приложения и старт разработки, а также проверку гипотезы ценности посредством лендинга и конверсий в заполнение формы",,Стартап,,Студент_334,@user_302,,,,,,,,,,,,,
AI Sport Support,Стартап,1 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,18:45:00,"За этот семестр планируется выполнить следующие задачи:
1) Проведение глубинных интервью с потенциальными клиентами, выявление их потребностей, проработка проблем
2) проведение анализа конкурентов и рынка
3) Создание mvp с базовым функционалом 
4) Привлечение первых клиентов ждя тестирования платформы 
5) Сбор ос у первых пользователей  на основе mvp и его дальнейшая доработка

Ожидаемый результат: Собрана первая ОС  от первых пользователей на основе mvp",Собрана первая ОС  от первых пользователей на основе mvp,Business; Стартап,Data_Scientist,Студент_665,@user_199,https://drive.google.com/drive/folders/1Yvynz7D270_hK-FjZd1qLaKBy3UJP9kb?usp=sharing,,1.81,3,4.0,2.0,1.67,2.0,1.33,2.0,1.67,2.0,"Приглядеться к https://bigbro.ai/for-players. У него хороший трекшен и я бы посоветовал у МИКа инкубатор для такого рода проектов. Там как раз смогут связать вас вместе, ну или через меня."
ai studypath mentor,Demo Day,,EdTech,2026-01-22,11:00:00,,,EdTech,,,,,,2.32,8,,3.0,2.38,1.88,2.25,2.25,2.12,2.38,"Не продуман пока момент с масштабирование и технической адаптацией за периметр ИТМО | Очень полезная штука для Хаба лично и ИТМО в частности, но пока на очень начальном этапе, чтобы делать сильные выводы."
ai teacher helper — ии-помощник для учителя и ученика,Demo Day,,EdTech,2026-01-22,11:45:00,,,EdTech,,,,,,2.02,7,,2.29,1.57,2.0,1.71,2.29,2.43,1.86,"отдельное огромное спасибо за экономику | Не хватает именно продуктовой проработки проекта. Какую боль пользователя реально решают, почему обычные нейросети хуже. Экономика проекта слабо просчитана, зато есть хоть какие-то фреймворки, уже хорошо | Не понятно для чего проект. Задача искусственно выдуманна. Нужно очень хорошо подумать над обоснованием зачем этот проект вообще нужен. Сейчас выглядит как лишняя точка отказа при решении задач пользователей | Сразу очень хочется похвалить расчет экономики и рисков в презентации -- круто, делает презентацию сильнее. А вот метрик по модельке не хватает и прям сильно, звучит как оценка методом пристального взгляда. | кажется что ценности не создают, нет метрик, валидации и методологии. Сложность проекта непонятна, подобное можно сделать за пару вечеров. Бизнес-стратегии тоже нет как стартап"
ai агент для автоматизированного управления инфраструктурой пользователя,Индустриальный,1 курс,"Мультиагентные системы, агенты",2026-01-22,11:00:00,,,Agents; LLM; ML в промышленности; NLP; Агенты,Agentic_AI; LLM; NLP,Студент_213,,https://drive.google.com/drive/folders/1L3VI_1GJiNd1WjAk7rMgtrnjwJyXS0R2?usp=sharing,,2.55,6,5.0,2.67,3.0,2.5,2.67,1.0,3.0,3.0,"хорошее рабочее и актуальное решение | хорошее решение с большим потенциалом развития | Хорошо, если можно будет прицепить какие-нибудь helm-чарты для разворачивания в разных облачных провайдерах - будет супер | Актуально. Большой потенциал для масштабирования | Хороший пример продукта внутри компании, большой потенциал для масштабирования"
AI агент для поиска поиска информации в регуляторных документах ЦБ,Индустриальный,,,,,"Разработка модели поиска информации в документации ЦБ
Разработка модели генерации ответа, основываясь на найденной информации
Тестирование системы на тестовых вопросах, которых не было в обучающей выборке

Ожидаемый результат: Разработка модели, которая будет иметь лучшее качество, чем стандартный RAG","Разработка модели, которая будет иметь лучшее качество, чем стандартный RAG",ML в промышленности; RAG; Агенты,,Студент_182,@user_487,,,,,,,,,,,,,
AI ассистент для автоматизации работы в облаке,Индустриальный,,,,,"Создание PoC новой версии агента, расширение его функционала

Ожидаемый результат: PoC",PoC,ML в промышленности; Агенты,,Студент_213,@user_388,,,,,,,,,,,,,
AI бот для сбора обратной связи (Кейс №2 ИТМО),Education,,,,,"1. Собрать команду или определиться, что двигаюсь самостоятельно (Октябрь)
2. Взять наработки с хакатона и довести их от состояния MVP до реализации основных функций: продукт должен быть минимально применим для получения дохода - ОС собирается со студентов и есть возможность принимать решения по этой ОС.",,EdTech,,Студент_1991,@user_681,,,,,,,,,,,,,
Ai в археологии (создание адаптированного к буддийским рукописям и ксилогрофам llm-based переводчика с тибетского языка),Научный,,,,,"1. Изучение редевантной литературы
2. Написание кода
3. Оценка получившегося переводчика
…

Ожидаемый результат: Результаты, которые можно будет использовать в дальнейшей статье","Результаты, которые можно будет использовать в дальнейшей статье",LLM; NLP; Research,,Студент_769,@user_279,,,,,,,,,,,,,
AI навигация 360,Индустриальный,,"Бизнес-процессы, промышленность",2026-01-22,18:15:00,"В процессе обсуждения

Ожидаемый результат: В процессе обсуждения",В процессе обсуждения,Business; ML; ML в промышленности,,Студент_351,@user_138,,,3.0,1,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
AI ревью,Индустриальный,,,,,"Планируем с командой найти лучший способ AI ревью, я буду заниматься непосредственно LLM:
- выбор модели
- написание промптов
- настройка llm as a judge
Ожидаем получить рабочий mvp, с обоснованием выбранного подхода",,LLM; ML в промышленности; NLP,,Студент_128,@user_118,,,,,,,,,,,,,
AI-агент для аварийного обслуживания оборудования,Другое,1 курс,,,,"1. настройка RAG
2. обучение и тестирование ассистента
3. работа с промптами.

Ожидаемый результат: создать AI-ассистента, который будет работать как «умный справочник». Он берет  информацию из мануалов, инструкций и регламентов, и по запросу оператора сразу выдает  пошаговое решение.","создать AI-ассистента, который будет работать как «умный справочник». Он берет  информацию из мануалов, инструкций и регламентов, и по запросу оператора сразу выдает  пошаговое решение.",EdTech; RAG; Агенты,,Студент_1629,@user_312,,,,,,,,,,,,,
AI-агент по профориентации,Индустриальный,,,,,"Полная реализация AI-агента по профориентиации от GIGASCHOOL

Ожидаемый результат: Готовый AI-агент",Готовый AI-агент,ML в промышленности; Агенты,,Студент_739,@user_262,,,,,,,,,,,,,
AI-ассистент для аварийного обслуживания оборудования,Индустриальный,1 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,19:30:00,"1. Исследование пользователей и процессов
Проведение интервью с операторами, мастерами и инженерами
Картирование текущего процесса устранения аварий
Выявление ключевых проблем и ожиданий от ассистента

2. Анализ документации и данных
Сбор и оценка технической документации (форматы, качество, полнота)
Классификация частых ошибок и инцидентов
Приоритизация сценариев для MVP

3. Формирование требований
Детализация пользовательских сценариев (user stories)
Определение метрик успеха и критериев качества ответов
Проектирование прототипа интерфейса чата

4. Валидация и планирование
Тестирование прототипа на целевой аудитории
Оценка рисков и ограничений реализации
Составление дорожной карты разработки MVP

Ожидаемый результат: утвержденные требования к MVP, приоритизированный бэклог, план реализации на текущий и следующий семестр","утвержденные требования к MVP, приоритизированный бэклог, план реализации на текущий и следующий семестр",Business; CV; GeoAI; LLM; ML в промышленности; NLP,CV; Data_Scientist; LLM; ML; MLOps; NLP,Студент_508,@user_630,https://drive.google.com/drive/folders/1W7iTARDXh21nFVxz-gl89UdskFfW8-Rp?usp=sharing,,2.29,3,5.0,3.0,2.0,2.67,1.67,1.67,3.0,2.0,
ai-ассистент для обучения и работы в компас-3d,Индустриальный,2 курс,"Бизнес-процессы, промышленность",2026-01-22,17:15:00,,,Business; EdTech; Gaming; LLM; ML; ML в промышленности; NLP,Data_Scientist; LLM; ML; NLP,Студент_737,,https://drive.google.com/drive/folders/17-rsCo2_kA8Xc55mXXkr96eZl2d113iN,,2.71,1,5.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,
AI-ассистент для фермеров,Индустриальный,,,,,"1) Сбор требований заказчика к конечному продукту
2) Выбор технологического стека
3) Проработка архитектуры системы
4) Продумывание сценариев работы системы
5) Написание бейзлайнов агентов
6) Интеграция с БД, MCP-серверами
7) Локальное тестирование работы агентной системы
8) Добавление мультиязычности
9) Внедрение агентов в Backend

Ожидаемый результат: Подготовить работающих агентов к полноценной интеграции в Backend, чтобы перейти к полноценному тестированию и проверке User-сценариев.","Подготовить работающих агентов к полноценной интеграции в Backend, чтобы перейти к полноценному тестированию и проверке User-сценариев.",ML в промышленности; Агенты,,Студент_344,@expert_169,,,,,,,,,,,,,
AI-ассистент КОМПАС-3D,Индустриальный,,,,,"Проект такой: разработка инструмента, позволяющего упростить процесс обучения и использования ПО. Собрать в единую базу знаний многочисленные инструкции, справки, описания методик, вебинары и семинары и реализовать на основе этого массива информации AI-ассистента. 
В нем довольно мало продуктовых задач, руководитель из 10 штук выделил только 1 – ""упаковка"" продукта. Формирование продуктового видения. Ее я и взяла на себя 
Касательно шагов: для формирования продуктового видения я планирую проанализировать рынок для выявления best practices, сформировать список доработок, которые можно реализовать в будущем, понять user story, в которых будет применяться агент для дальнейшего его развития

Ожидаемый результат: Продукт упакован, видение его дальнейшего развития сформировано","Продукт упакован, видение его дальнейшего развития сформировано",EdTech; Gaming; ML в промышленности; Агенты,,Студент_484,@user_076,,,,,,,,,,,,,
AI-ассистент по пользовательской документации КОМПАС-3D,Индустриальный,1 курс,,,,"Жду ответ от руководителя. 
Сегодня(13 октября) получили ответ от руководителя проекта такой: 

« Да, сейчас готовим план работ, исходные данные и инфраструктуру. На этой неделе обязательно проведем и запустим проект.»

Ожидаемый результат: Пока нет информации",Пока нет информации,Gaming; ML в промышленности,,Студент_1495,@user_636,,,,,,,,,,,,,
AI-инструмент для предсказания и оптимизации свойств антител,Научный,,,,,"1. Обзор литературы
2. Сформировать и очистить датасеты публичных последовательностей антител с терапевтически значимыми характеристикам (например, внутриклеточная стабильность для разработки intabodies, иммуногенность для любых терапевтических  антител).
3. Feature engineering. Например, использование векторных представлений последовательностей антител с помощью языковых моделей для белков (ProtT5, ESM2, AntiBERTy).
4. Построить и протестировать модели машинного обучения для предсказания свойств.
5. Интегрировать результаты в рабочий прототип инструмента (например, консольное приложение или простой интерфейс), позволяющий применять модель к новым данным.

Ожидаемый результат: * Сформирован высококачественный датасет на основе обзора литературы и открытых источников. * Разработан прототип инструмента для предсказания хотя бы одного ключевого свойства антител. * Проведена базовая валидация качества модели на реальных данных. * Подготовлен промежуточный отчёт, и демо-версия инструмента/платформы.","* Сформирован высококачественный датасет на основе обзора литературы и открытых источников. * Разработан прототип инструмента для предсказания хотя бы одного ключевого свойства антител. * Проведена базовая валидация качества модели на реальных данных. * Подготовлен промежуточный отчёт, и демо-версия инструмента/платформы.",EdTech; NLP; Research,,Студент_118,@user_473,,,,,,,,,,,,,
AI-компанибен для профориентации,Индустриальный,,,,,"Разработка и тестирование AI-компаньона
Парсинг данных профилей вузов, данных о актуальных курсах
Обеспечение устойчивости генерации и проведения проф. ориентационных тестов
Создание БД для пользователей и данных
Сбор фидбека от пользователей

Ожидаемый результат: Готовый MVP",Готовый MVP,EdTech; ML в промышленности,,Студент_638,@user_181,,,,,,,,,,,,,
AI-компаньон для профориентации,Индустриальный,1 курс,HR,2026-01-22,11:45:00,"Доработать MVP с хакатона - повысить точность, устойчивость, и внедрить запланированные TODO

Ожидаемый результат: Рабочий продукт готовый к развертыванию",Рабочий продукт готовый к развертыванию,EdTech; LLM; ML в промышленности; NLP; RecSys; Агенты,Agentic_AI; LLM; ML; MLOps; NLP,Студент_942,@user_410,https://drive.google.com/drive/folders/1tGXHJXbyQusUupn_IxFxADqWe-Dfp690?usp=sharing,,2.0,1,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,
