title,rooms,days,tracks,time_slots,team,description,tags,author,telegram_contact,avg_score,expert_count
"AI Singularity (преакселератор), но я так понял это разные вещи: акселератор и стартап-трек",,,,,,"[Трек: Стартап] Так как мы начали делать стартап с началом преакселератора, то ставлю целью на семестр -- готовый лендинг, не менее 50 глубинных интервью с целевой аудиторией, готовый дизайн / макеты iOS приложения и старт разработки, а также проверку гипотезы ценности посредством лендинга и конверсий в заполнение формы",Стартап,Студент_334,@user_302,0,0
AI Sport Support,Презентация проектов перед бизнес - партнерами,,,,,"[Трек: Стартап] За этот семестр планируется выполнить следующие задачи:
1) Проведение глубинных интервью с потенциальными клиентами, выявление их потребностей, проработка проблем
2) проведение анализа конкурентов и рынка
3) Создание mvp с базовым функционалом 
4) Привлечение первых клиентов ждя тестирования платформы 
5) Сбор ос у первых пользователей  на основе mvp и его дальнейшая доработка

Ожидаемый результат: Собрана первая ОС  от первых пользователей на основе mvp",Стартап; Business,Студент_665,@user_199,1.81,3
AI agents for Science,,,,,,"[Трек: Научный] исследование и доработка существующих решений agents4science. Разработка своего собственного.

Ожидаемый результат: доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.",Автономные агенты; Research,Студент_371,@user_002,0,0
AI агент для поиска поиска информации в регуляторных документах ЦБ,,,,,,"[Трек: Индустриальный] Разработка модели поиска информации в документации ЦБ
Разработка модели генерации ответа, основываясь на найденной информации
Тестирование системы на тестовых вопросах, которых не было в обучающей выборке

Ожидаемый результат: Разработка модели, которая будет иметь лучшее качество, чем стандартный RAG",ML в промышленности; RAG; Автономные агенты; NLP,Студент_182,@user_487,0,0
AI ассистент для автоматизации работы в облаке,,,,,,"[Трек: Индустриальный] Создание PoC новой версии агента, расширение его функционала

Ожидаемый результат: PoC",ML в промышленности; Автономные агенты,Студент_213,@user_388,0,0
AI бот для сбора обратной связи  (Кейс №2 ИТМО),,,,,,"[Трек: Education] 1. Собрать команду или определиться, что двигаюсь самостоятельно (Октябрь)
2. Взять наработки с хакатона и довести их от состояния MVP до реализации основных функций: продукт должен быть минимально применим для получения дохода - ОС собирается со студентов и есть возможность принимать решения по этой ОС.",EdTech,Студент_1991,@user_681,0,0
AI навигация 360,"Бизнес-процессы, промышленность",,,,,"[Трек: Индустриальный] В процессе обсуждения

Ожидаемый результат: В процессе обсуждения",ML в промышленности; ML; Business,Студент_351,@user_138,3.0,1
AI ревью,,,,,,"[Трек: Индустриальный] Планируем с командой найти лучший способ AI ревью, я буду заниматься непосредственно LLM:
- выбор модели
- написание промптов
- настройка llm as a judge
Ожидаем получить рабочий mvp, с обоснованием выбранного подхода",ML в промышленности; NLP,Студент_128,@user_118,0,0
AI-агент для аварийного обслуживания оборудования,,,,,,"[Трек: Другое] 1. настройка RAG
2. обучение и тестирование ассистента
3. работа с промптами.

Ожидаемый результат: создать AI-ассистента, который будет работать как «умный справочник». Он берет  информацию из мануалов, инструкций и регламентов, и по запросу оператора сразу выдает  пошаговое решение.",EdTech; Автономные агенты; RAG,Студент_1629,@user_312,0,0
AI-агент по профориентации,,,,,,"[Трек: Индустриальный] Полная реализация AI-агента по профориентиации от GIGASCHOOL

Ожидаемый результат: Готовый AI-агент",ML в промышленности; Автономные агенты,Студент_739,@user_262,0,0
AI-ассистент КОМПАС-3D,,,,,,"[Трек: Индустриальный] Проект такой: разработка инструмента, позволяющего упростить процесс обучения и использования ПО. Собрать в единую базу знаний многочисленные инструкции, справки, описания методик, вебинары и семинары и реализовать на основе этого массива информации AI-ассистента. 
В нем довольно мало продуктовых задач, руководитель из 10 штук выделил только 1 – ""упаковка"" продукта. Формирование продуктового видения. Ее я и взяла на себя 
Касательно шагов: для формирования продуктового видения я планирую проанализировать рынок для выявления best practices, сформировать список доработок, которые можно реализовать в будущем, понять user story, в которых будет применяться агент для дальнейшего его развития

Ожидаемый результат: Продукт упакован, видение его дальнейшего развития сформировано",ML в промышленности; EdTech; Автономные агенты; Gaming,Студент_484,@user_076,0,0
AI-ассистент для аварийного обслуживания оборудования,Презентация проектов перед бизнес - партнерами,,,,,"[Трек: Индустриальный] 1. Исследование пользователей и процессов
Проведение интервью с операторами, мастерами и инженерами
Картирование текущего процесса устранения аварий
Выявление ключевых проблем и ожиданий от ассистента

2. Анализ документации и данных
Сбор и оценка технической документации (форматы, качество, полнота)
Классификация частых ошибок и инцидентов
Приоритизация сценариев для MVP

3. Формирование требований
Детализация пользовательских сценариев (user stories)
Определение метрик успеха и критериев качества ответов
Проектирование прототипа интерфейса чата

4. Валидация и планирование
Тестирование прототипа на целевой аудитории
Оценка рисков и ограничений реализации
Составление дорожной карты разработки MVP

Ожидаемый результат: утвержденные требования к MVP, приоритизированный бэклог, план реализации на текущий и следующий семестр",GeoAI; ML в промышленности; Business,Студент_508,@user_630,2.29,3
AI-ассистент для фермеров,,,,,,"[Трек: Индустриальный] 1) Сбор требований заказчика к конечному продукту
2) Выбор технологического стека
3) Проработка архитектуры системы
4) Продумывание сценариев работы системы
5) Написание бейзлайнов агентов
6) Интеграция с БД, MCP-серверами
7) Локальное тестирование работы агентной системы
8) Добавление мультиязычности
9) Внедрение агентов в Backend

Ожидаемый результат: Подготовить работающих агентов к полноценной интеграции в Backend, чтобы перейти к полноценному тестированию и проверке User-сценариев.",ML в промышленности; Автономные агенты,Студент_344,@expert_169,0,0
AI-ассистент по пользовательской документации КОМПАС-3D,,,,,,"[Трек: Индустриальный] Жду ответ от руководителя. 
Сегодня(13 октября) получили ответ от руководителя проекта такой: 

« Да, сейчас готовим план работ, исходные данные и инфраструктуру. На этой неделе обязательно проведем и запустим проект.»

Ожидаемый результат: Пока нет информации",ML в промышленности; Gaming,Студент_1495,@user_636,0,0
AI-инструмент для предсказания и оптимизации свойств антител,,,,,,"[Трек: Научный] 1. Обзор литературы
2. Сформировать и очистить датасеты публичных последовательностей антител с терапевтически значимыми характеристикам (например, внутриклеточная стабильность для разработки intabodies, иммуногенность для любых терапевтических  антител).
3. Feature engineering. Например, использование векторных представлений последовательностей антител с помощью языковых моделей для белков (ProtT5, ESM2, AntiBERTy).
4. Построить и протестировать модели машинного обучения для предсказания свойств.
5. Интегрировать результаты в рабочий прототип инструмента (например, консольное приложение или простой интерфейс), позволяющий применять модель к новым данным.

Ожидаемый результат: * Сформирован высококачественный датасет на основе обзора литературы и открытых источников. * Разработан прототип инструмента для предсказания хотя бы одного ключевого свойства антител. * Проведена базовая валидация качества модели на реальных данных. * Подготовлен промежуточный отчёт, и демо-версия инструмента/платформы.",Research; EdTech; NLP,Студент_118,@user_473,0,0
AI-компанибен для профориентации,,,,,,"[Трек: Индустриальный] Разработка и тестирование AI-компаньона
Парсинг данных профилей вузов, данных о актуальных курсах
Обеспечение устойчивости генерации и проведения проф. ориентационных тестов
Создание БД для пользователей и данных
Сбор фидбека от пользователей

Ожидаемый результат: Готовый MVP",ML в промышленности; EdTech; NLP,Студент_638,@user_181,0,0
AI-компаньон для профориентации,HR,,,,,"[Трек: Индустриальный] Доработать MVP с хакатона - повысить точность, устойчивость, и внедрить запланированные TODO

Ожидаемый результат: Рабочий продукт готовый к развертыванию",ML в промышленности; RecSys; Recsys; Автономные агенты; EdTech,Студент_942,@user_410,2.0,1
AI-метеоролог: многоагентная система для анализа погодных даных,,,,,,"[Трек: Научный] На данный момент тематика LLM-агентов для задач описания физики погоды недостаточно хорошо раскрыта. Потенциал применения агентных систем в анализе метеорологических данных представлен в виде автоматической генерации погодных бюллитеней, которые информируют другие организации (отделы Рисков банков) и службы (в т.ч. МЧС) о состоянии погоды на ближайшие 3-5 суток.

Текущий план исследования состоит из ряда этапов в течении семестра:

1. Разработка агентной системы и экспертной оценки сгенерированных данных на соответствие корректности описания состояния погоды над рассматриваемыми локациями;

2. Проведение экспериментов по масштабированию модулей подсистемы анализа табличных погодных данных (оптимальное описание больших таблиц) для анализа прогнозова до 5 суток с часовым разрешением на 8 погодных параметров (>5*24*8 == 960 погодных данных, привязанных ко времени);

3. Проведение экспериментов по детальному анализу погодных данных (внедрение агентов-аналитиков, способных использовать инструменты анализа временных рядов при работе с погодными данными);

4. Оформление результатов в формате демонстрационного трека на ближайшие A* конференции (AAAI2026 Workshop AI for Environmental Science, CHI2026);

Ожидаемый результат: Подача статьи / демонстрации на A*/Q1",Автономные агенты; Research; NLP; FinTech,Студент_059,@user_114,0,0
AI-навигация по строительному объекту на основе 360° контента,,,,,,"[Трек: Индустриальный] 1. Анализ научных статей 
2. Формализация требований к конечному результату
3. Исследование и анализ по собранным данным
4. Разработка модуля сопоставления 3d кадров для создания трека с сопоставлением с картой объекта
5. Разработка модуля сравнения кадров относительно времени с целью контроля прогресса и выявления проблем
6. Тестирование на собранных данных

Ожидаемый результат: Модули сопоставления 3D кадров, составления трека движения и сравнения изменений на объекте",GeoAI; Research; ML в промышленности; Gaming,Студент_345,@user_633,0,0
AI-помощник преподавателя,,,,,,"[Трек: Education] План работы на семестр:
1. Изучение существующих решений, определение целей и функционала системы, проектирование архитектуры и выбор метрик качества.
2. Сбор учебных заданий и ответов студентов, очистка и разметка данных, формирование обучающей выборки.
3. Создание моделей для генерации заданий, проверки ответов и автоматической оценки, обучение и оценка их качества.
4. Реализация веб-прототипа и интеграция ML-модулей
5. Тестирование

Ожидаемый результат: Ожидаемый результат к концу семестра: работающий прототип AI-помощника и отчёт о результатах проекта",EdTech; NLP,Студент_198,@user_113,0,0
AI-ускоренная МРТ реконструкция и детекция патологий коленного сустава,,,,,,"[Трек: Индустриальный] План работы на семестр 1 (осень 2025)

1. Комплексный литературный обзор и документирование текущего состояния
Предполагаемый результат: Технический документ с систематизацией литературы по трём направлениям.

2. Координация с ML-командой: синхронизация и постановка задач
Предполагаемый результат: Понимание текущего состояния проекта, план технических задач для ML-команды.

3. Координация внедрения улучшенных функций потерь для реконструкции
Предполагаемый результат: Технический бриф для ML-команды с обоснованием подхода. Модели с новыми функциями потерь обучены ML-командой

4. Координация улучшения модели детекции патологий
Предполагаемый результат: Техническое задание для ML-команды с клиническим обоснованием. Новая модель детекции обучена и протестирована ML-командой

5. Итоговая документация и планирование следующего этапа
Предполагаемый результат: Технический отчёт за семестр с полным анализом. План работ на весенний семестр 2025",ML в промышленности; EdTech,Студент_869,@user_345,0,0
AI4Science,,,,,,"[Трек: Научный] исследование и доработка существующих решений agents4science. Разработка своего собственного.

Ожидаемый результат: доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.",Автономные агенты; Research,Студент_988,@user_619,0,0
AI4Scoence,,,,,,"[Трек: Научный] исследование и доработка существующих решений agents4science. Разработка своего собственного.

Ожидаемый результат: доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.",Автономные агенты; Research,Студент_908,@user_380,0,0
AIDA (AI dialogue assistant),,,,,,"[Трек: Стартап] 1) Проблемные интервью
2) Решенческие интервью
3) Коридорные интервью
4) Запустить MVP
5) Подобрать каналы продвижения
6) Выход на первые продажи

Ожидаемый результат: Первая продажа",Стартап,Студент_598,@user_152,0,0
"ASR, RAG и LLM",Recsys / предиктивная аналитика,2026-01-22,Demo Day,,,"Продажи, маркетинг",ASR; RAG; RecSys; NLP,,,0,0
Adapstory,Презентация проектов перед бизнес - партнерами,,,,,"[Трек: Стартап] На данный момент проводим глубокий рисерч и CustDev. Будем разрабатывать агентов для образования, построение курсов в телеграм

Ожидаемый результат: PoC/MVP к концу семестра",Автономные агенты; EdTech; Стартап; Business,Студент_748,@expert_239,3.0,1
Adapstory - персонализированное обучение,,,,,,"[Трек: Стартап] Мы делаем:
Создать веб-платформу и конструктор диалогов, которые через доставку контента, вопросы, RAG-поддержку и аналитический стек фиксируют не только результат (что сделал ученик), но и ход мыслей (какие гипотезы предлагал/отвергал, какие вопросы задавал), дают наводящие вопросы вместо ответов и автоматически подсказывают наставнику где и как вмешаться.

Дизайн сценариев и образовательной логики
Разработать шаблоны сценариев 
Составить рубрики для оценки навыков мышления (знание, аргументация, креативность и т.д.).
Разработать фиксирование мета-когнитивных навыков (черновики, запросы подсказок, время и т.д.).
Технический MVP
Доработать бэкенд и базу данных (сессий, журнал действий).
Создать фронтенд: интерфейс для ученика, наставника и админ-панель.
Построить визуальный конструктор диалогов (drag-and-drop).
Реализовать базовый RAG-конвейер для поиска по источникам.
Настроить детальное логирование всех действий пользователя.
Метрики мышления и модель оценки
Разработать автоматические метрики качества мышления (качество вопросов, глубина рассуждений и т.д.).
Интегрировать систему оценки и создать визуализацию «портрета мышления» ученика.
Наставник в контуре и педагогические фичи
Создать UI для наставника с аналитикой и подсказками для вмешательства в обучение.
Настроить workflow наставника (уведомления, шаблоны обратной связи).
Провести тренинг для наставников по использованию системы и работе с учениками.

Ожидаемый результат: К концу семестра будет готов прототип платформы для развития мышления. Он будет включать конструктор сценариев с диалогами-тренажерами и систему автоматической оценки метрик качества мышления ученика. В процесс будет интегрирован наставник с инструментами для точечного вмешательства и обратной связи.",EdTech; RAG; RecSys; Стартап,Студент_447,@user_651,0,0
Adaptive Agents x AIRI,,,,,,"[Трек: Индустриальный] Жду согласования проекта и дату

Ожидаемый результат: Жду согласования проекта и дату",ML в промышленности; Автономные агенты,Студент_814,@user_311,0,0
Adaptive AutoML,,,,,,"[Трек: Научный] 1. Обзор литературы: собрать существующие методы, метрики, сформулировать исследовательские вопросы
2. Подготовка экспериментальной среды: выбрать несколько датасетов, несколько моделей, написать код для пайплайна дообучения + расчета метрик
3. Исследование методов отбора данных: реализовать базовые стратегии, провести с ними эксперименты на пайплайне из предыдущего пункта, сравнить результаты по метрикам. Определить финальную гипотезу и методы, которые стоит развивать/масштабировать.
4. Оформление отчета о практике/короткой статьи о пилотных результатах

Ожидаемый результат: проведен сравнительный анализ существующих методов, проверены основные гипотезы, определено направление дальнейшего ресерча",Research; EdTech,Студент_047,@user_359,0,0
Advancify,,,,,,"[Трек: Индустриальный] Внедрить модели классификации учебной/неучебной активности, внедрить модель усталости глаз

Ожидаемый результат: Релиз приложения Advancify Desktop с моими внедренными моделями",ML в промышленности,Студент_173,@user_657,0,0
Agent Memory,,,,,,"[Трек: Научный] ""### Этап 1. Анализ и уточнение постановки задачи (1–2 неделя)

* Уточнение терминов и моделей памяти: STM, MTM, LTM.
* Формализация CRUD-операций для каждого типа памяти.
* Определение метрик токен-баланса и критериев корректности извлечения.
* Согласование архитектуры модуля с руководителем / командой.

**Предполагаемый результат:** утверждённое описание типов памяти, набора метрик и критериев качества; черновой документ со схемой архитектуры.

---

### Этап 2. Проектирование модульной архитектуры памяти (3–5 неделя)

* Разработка интерфейсов между STM, MTM и LTM (общий API).
* Проработка структуры данных для каждого типа памяти:

  * STM — контекстная очередь/буфер;
  * MTM — графовая или табличная онтология;
  * LTM — неизменяемое индексированное хранилище (GraphRAG-подобная структура).
* Проектирование системы Bi-Directional Middle-Long Binds (BMLB).
* Определение формата данных и протокола взаимодействия модулей.

**Предполагаемый результат:** прототип архитектуры и схемы взаимодействия модулей; техническое описание API и структур данных.

---

### Этап 3. Реализация базового прототипа памяти (6–9 неделя)

* Реализация модулей STM, MTM и LTM в минимально работоспособной форме.
* Настройка CRUD-операций и измерения токен-стоимости (через трекинг токенов LLM).
* Реализация BMLB-связей между MTM и LTM.
* Тестирование корректности CRUD и базовой функциональности.

**Предполагаемый результат:** базовый прототип Memory OS, способный выполнять CRUD-операции и вести токен-баланс.

---

### Этап 4. Разработка и интеграция бенчмарков (10–12 неделя)

* Подготовка или адаптация тестовых наборов данных GVD и LoCoMo.
* Разработка сценариев для оценки разных временных горизонтов памяти.
* Внедрение измерения метрик: токен-cost, корректность, скорость.
* Проведение первых сравнительных тестов.

**Предполагаемый результат:** работающий бенчмарк, собирающий метрики по каждому типу памяти и сценарию; первые результаты производительности.

---

### Этап 5. Анализ ",RAG; Автономные агенты; HR; Research; NLP,Студент_024,@user_056,0,0
AgentArea,Презентация проектов перед бизнес - партнерами,,,,,"[Трек: Стартап] Погружение (2 недели)
- Изучить кодовую базу AgentArea
- Разобрать существующие подходы к планированию задач агентами
- Настроить среду разработки, сделать первые правки

Основная разработка (4 недели)
Модуль планирования для агентов:
- Декомпозиция сложных задач на подзадачи
- Построение графа зависимостей между шагами
- Валидация и корректировка плана в процессе выполнения

Система оценки агентов:
- Метрики: скорость ответа, расход токенов, процент успешных задач
- Скрипт автоматического тестирования
- Отчеты в JSON

Этап 3: Завершение (2-3 недели)
- Встроить модули в основную систему
- Написать документацию с примерами
- Протестировать и отправить PR
- Подготовить презентацию для ИТМО

Ожидаемый результат: Что будет сделано: 1) Модуль планирования задач - агент сможет разбивать сложные запросы на шаги 2) Скрипт для оценки качества работы агентов 3) 2-3 принятых PR в репозиторий 4) Техническая документация   Что получу: 1) Более глубокое понимание архитектуры агентных систем 2) Опыт работы с декомпозицией задач для LLM 3) Вклад в open-source проект 4) База для дальнейшей работы в стартапе",NLP; Автономные агенты; Стартап; Business,Студент_212,@user_091,2.79,2
Ai review | Я Практикум,,,,,,"[Трек: Индустриальный] Разработать и протестировать подход к автоматическому анализу и валидации отзывов модели по коду, работающему с проектами в формате ZIP-архивов.

Исследовать, как можно автоматически проверять корректность ответов модели, анализирующей код проекта.

Проработать структуру обратной связи (комментарии к строкам, блокам, файлам, итоговое резюме).

Предложить методику оценки качества комментариев модели по сравнению с человеческим ревью.

Ожидаемый результат: Сделать рабочий прототип для каждой из задач",HR; ML в промышленности,Студент_1449,@user_627,0,0
