title,track,course,rooms,days,time_slots,team,description,expected_result,tags,tech_areas,author,telegram_contact,links,repository,avg_score,expert_count,mentor_involvement,score_актуальность,score_практ_значимость,score_новизна,score_импакт,score_rd_сложность,score_масштабирование,score_критерий_7,expert_comments
AI Security Lab,Научный,,,,,,"[Трек: Научный] Проведу исследование защиты llm систем

Ожидаемый результат: Наброски статьи",Наброски статьи,Security; NLP; Research; LLM,,Студент_827,@user_318,,,0,0,,,,,,,,,
ai security lab benchmark,Индустриальный,2 курс,Безопасность; Security,2026-01-22; 2026-01-23,13:30:00; 11:00:00,,,,Security; Автономные агенты; NLP; ML в промышленности; LLM,NLP; LLM; Agentic_AI; Data_Scientist,Студент_270,,https://drive.google.com/drive/folders/1ck5D_zIMx6lh4nJretBgy2_lFRv2jZWB?usp=share_link,,2.89,4,5.0,3.0,2.5,3.0,2.75,3.0,3.0,3.0,
ai security lab автоматическая визуализация бизнес-процессов студент_160,,,Презентация проектов перед бизнес - партнерами,2026-01-23,18:00:00,,,,Security; Business,,,,,,0,0,,,,,,,,,
ai singularity,Стартап,1 курс,Медицина,2026-01-22,16:00:00,,"[Трек: Стартап] 1. Провести клиентские интервью
2. Собрать mvp

Ожидаемый результат: mvp сервиса",mvp сервиса,MedTech; Стартап,Data_Scientist,Студент_831,@user_320,https://drive.google.com/drive/folders/1mPNOyt2z2RdboAOgi2Yj2CSH1pnNS6zA?usp=drive_link,,2.43,1,,3.0,3.0,2.0,2.0,2.0,3.0,2.0,Напишите письмо в МИАЦ на Алексеева П.С.
"AI Singularity (преакселератор), но я так понял это разные вещи: акселератор и стартап-трек",Стартап,,,,,,"[Трек: Стартап] Так как мы начали делать стартап с началом преакселератора, то ставлю целью на семестр -- готовый лендинг, не менее 50 глубинных интервью с целевой аудиторией, готовый дизайн / макеты iOS приложения и старт разработки, а также проверку гипотезы ценности посредством лендинга и конверсий в заполнение формы",,Стартап,,Студент_334,@user_302,,,0,0,,,,,,,,,
AI Sport Support,Стартап,1 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,18:45:00,,"[Трек: Стартап] За этот семестр планируется выполнить следующие задачи:
1) Проведение глубинных интервью с потенциальными клиентами, выявление их потребностей, проработка проблем
2) проведение анализа конкурентов и рынка
3) Создание mvp с базовым функционалом 
4) Привлечение первых клиентов ждя тестирования платформы 
5) Сбор ос у первых пользователей  на основе mvp и его дальнейшая доработка

Ожидаемый результат: Собрана первая ОС  от первых пользователей на основе mvp",Собрана первая ОС  от первых пользователей на основе mvp,Стартап; Business,Data_Scientist,Студент_665,@user_199,https://drive.google.com/drive/folders/1Yvynz7D270_hK-FjZd1qLaKBy3UJP9kb?usp=sharing,,1.81,3,4.0,2.0,1.67,2.0,1.33,2.0,1.67,2.0,"Приглядеться к https://bigbro.ai/for-players. У него хороший трекшен и я бы посоветовал у МИКа инкубатор для такого рода проектов. Там как раз смогут связать вас вместе, ну или через меня."
ai studypath mentor,,,EdTech,2026-01-22,11:00:00,,,,EdTech,,,,,,2.32,8,,3.0,2.38,1.88,2.25,2.25,2.12,2.38,"Не продуман пока момент с масштабирование и технической адаптацией за периметр ИТМО | Очень полезная штука для Хаба лично и ИТМО в частности, но пока на очень начальном этапе, чтобы делать сильные выводы."
ai teacher helper — ии-помощник для учителя и ученика,,,EdTech,2026-01-22,11:45:00,,,,EdTech,,,,,,2.02,7,,2.29,1.57,2.0,1.71,2.29,2.43,1.86,"отдельное огромное спасибо за экономику | Не хватает именно продуктовой проработки проекта. Какую боль пользователя реально решают, почему обычные нейросети хуже. Экономика проекта слабо просчитана, зато есть хоть какие-то фреймворки, уже хорошо | Не понятно для чего проект. Задача искусственно выдуманна. Нужно очень хорошо подумать над обоснованием зачем этот проект вообще нужен. Сейчас выглядит как лишняя точка отказа при решении задач пользователей | Сразу очень хочется похвалить расчет экономики и рисков в презентации -- круто, делает презентацию сильнее. А вот метрик по модельке не хватает и прям сильно, звучит как оценка методом пристального взгляда. | кажется что ценности не создают, нет метрик, валидации и методологии. Сложность проекта непонятна, подобное можно сделать за пару вечеров. Бизнес-стратегии тоже нет как стартап"
ai агент для автоматизированного управления инфраструктурой пользователя,Индустриальный,1 курс,"Мультиагентные системы, агенты",2026-01-22,11:00:00,,,,Agents; Автономные агенты; NLP; ML в промышленности; LLM,NLP; LLM; Agentic_AI,Студент_213,,https://drive.google.com/drive/folders/1L3VI_1GJiNd1WjAk7rMgtrnjwJyXS0R2?usp=sharing,,2.55,6,5.0,2.67,3.0,2.5,2.67,1.0,3.0,3.0,"хорошее рабочее и актуальное решение | хорошее решение с большим потенциалом развития | Хорошо, если можно будет прицепить какие-нибудь helm-чарты для разворачивания в разных облачных провайдерах - будет супер | Актуально. Большой потенциал для масштабирования | Хороший пример продукта внутри компании, большой потенциал для масштабирования"
AI агент для поиска поиска информации в регуляторных документах ЦБ,Индустриальный,,,,,,"[Трек: Индустриальный] Разработка модели поиска информации в документации ЦБ
Разработка модели генерации ответа, основываясь на найденной информации
Тестирование системы на тестовых вопросах, которых не было в обучающей выборке

Ожидаемый результат: Разработка модели, которая будет иметь лучшее качество, чем стандартный RAG","Разработка модели, которая будет иметь лучшее качество, чем стандартный RAG",RAG; Автономные агенты; ML в промышленности,,Студент_182,@user_487,,,0,0,,,,,,,,,
AI ассистент для автоматизации работы в облаке,Индустриальный,,,,,,"[Трек: Индустриальный] Создание PoC новой версии агента, расширение его функционала

Ожидаемый результат: PoC",PoC,Автономные агенты; ML в промышленности,,Студент_213,@user_388,,,0,0,,,,,,,,,
AI бот для сбора обратной связи  (Кейс №2 ИТМО),Education,,,,,,"[Трек: Education] 1. Собрать команду или определиться, что двигаюсь самостоятельно (Октябрь)
2. Взять наработки с хакатона и довести их от состояния MVP до реализации основных функций: продукт должен быть минимально применим для получения дохода - ОС собирается со студентов и есть возможность принимать решения по этой ОС.",,EdTech,,Студент_1991,@user_681,,,0,0,,,,,,,,,
Ai в археологии (создание адаптированного к буддийским рукописям и ксилогрофам llm-based переводчика с тибетского языка),Научный,,,,,,"[Трек: Научный] 1. Изучение редевантной литературы
2. Написание кода
3. Оценка получившегося переводчика
…

Ожидаемый результат: Результаты, которые можно будет использовать в дальнейшей статье","Результаты, которые можно будет использовать в дальнейшей статье",NLP; Research; LLM,,Студент_769,@user_279,,,0,0,,,,,,,,,
AI навигация 360,Индустриальный,,"Бизнес-процессы, промышленность",2026-01-22,18:15:00,,"[Трек: Индустриальный] В процессе обсуждения

Ожидаемый результат: В процессе обсуждения",В процессе обсуждения,ML в промышленности; Business; ML,,Студент_351,@user_138,,,3.0,1,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
AI ревью,Индустриальный,,,,,,"[Трек: Индустриальный] Планируем с командой найти лучший способ AI ревью, я буду заниматься непосредственно LLM:
- выбор модели
- написание промптов
- настройка llm as a judge
Ожидаем получить рабочий mvp, с обоснованием выбранного подхода",,ML в промышленности; NLP; LLM,,Студент_128,@user_118,,,0,0,,,,,,,,,
AI-агент для аварийного обслуживания оборудования,Другое,1 курс,,,,,"[Трек: Другое] 1. настройка RAG
2. обучение и тестирование ассистента
3. работа с промптами.

Ожидаемый результат: создать AI-ассистента, который будет работать как «умный справочник». Он берет  информацию из мануалов, инструкций и регламентов, и по запросу оператора сразу выдает  пошаговое решение.","создать AI-ассистента, который будет работать как «умный справочник». Он берет  информацию из мануалов, инструкций и регламентов, и по запросу оператора сразу выдает  пошаговое решение.",RAG; Автономные агенты; EdTech,,Студент_1629,@user_312,,,0,0,,,,,,,,,
AI-агент по профориентации,Индустриальный,,,,,,"[Трек: Индустриальный] Полная реализация AI-агента по профориентиации от GIGASCHOOL

Ожидаемый результат: Готовый AI-агент",Готовый AI-агент,Автономные агенты; ML в промышленности,,Студент_739,@user_262,,,0,0,,,,,,,,,
AI-ассистент для аварийного обслуживания оборудования,Индустриальный,1 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,19:30:00,,"[Трек: Индустриальный] 1. Исследование пользователей и процессов
Проведение интервью с операторами, мастерами и инженерами
Картирование текущего процесса устранения аварий
Выявление ключевых проблем и ожиданий от ассистента

2. Анализ документации и данных
Сбор и оценка технической документации (форматы, качество, полнота)
Классификация частых ошибок и инцидентов
Приоритизация сценариев для MVP

3. Формирование требований
Детализация пользовательских сценариев (user stories)
Определение метрик успеха и критериев качества ответов
Проектирование прототипа интерфейса чата

4. Валидация и планирование
Тестирование прототипа на целевой аудитории
Оценка рисков и ограничений реализации
Составление дорожной карты разработки MVP

Ожидаемый результат: утвержденные требования к MVP, приоритизированный бэклог, план реализации на текущий и следующий семестр","утвержденные требования к MVP, приоритизированный бэклог, план реализации на текущий и следующий семестр",GeoAI; CV; NLP; ML в промышленности; Business; LLM,CV; NLP; LLM; ML; MLOps; Data_Scientist,Студент_508,@user_630,https://drive.google.com/drive/folders/1W7iTARDXh21nFVxz-gl89UdskFfW8-Rp?usp=sharing,,2.29,3,5.0,3.0,2.0,2.67,1.67,1.67,3.0,2.0,
ai-ассистент для обучения и работы в компас-3d,Индустриальный,2 курс,"Бизнес-процессы, промышленность",2026-01-22,17:15:00,,,,EdTech; Gaming; NLP; ML; ML в промышленности; Business; LLM,NLP; LLM; ML; Data_Scientist,Студент_737,,https://drive.google.com/drive/folders/17-rsCo2_kA8Xc55mXXkr96eZl2d113iN,,2.71,1,5.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,
AI-ассистент для фермеров,Индустриальный,,,,,,"[Трек: Индустриальный] 1) Сбор требований заказчика к конечному продукту
2) Выбор технологического стека
3) Проработка архитектуры системы
4) Продумывание сценариев работы системы
5) Написание бейзлайнов агентов
6) Интеграция с БД, MCP-серверами
7) Локальное тестирование работы агентной системы
8) Добавление мультиязычности
9) Внедрение агентов в Backend

Ожидаемый результат: Подготовить работающих агентов к полноценной интеграции в Backend, чтобы перейти к полноценному тестированию и проверке User-сценариев.","Подготовить работающих агентов к полноценной интеграции в Backend, чтобы перейти к полноценному тестированию и проверке User-сценариев.",Автономные агенты; ML в промышленности,,Студент_344,@expert_169,,,0,0,,,,,,,,,
